English,Japanese
dismiss,解雇する
display,表示する
distinguish,区別する
distribute,配布する
district,地区
divide,分ける
document,文書
domestic,国内の
dominant,支配的な
double,二重の
doubt,疑う
downtown,市の中心部
dozen,ダース
draft,下書き
drama,ドラマ
draw,描く
dream,夢
dress,服装
drift,漂う
drink,飲む
drive,運転する
drop,落とす
drown,溺れる
drug,薬
dry,乾いた
due,期限の
during,〜の間に
duty,義務
eager,熱心な
earn,稼ぐ
earth,地球
ease,楽にする
economy,経済
edge,縁
editor,編集者
educate,教育する
effort,努力
elect,選ぶ
element,要素
eliminate,除去する
emerge,現れる
emphasize,強調する
employee,従業員
employer,雇用主
enable,可能にする
encounter,遭遇する
endure,耐える
enemy,敵
energy,エネルギー
engage,従事する
engine,エンジン
enhance,高める
enjoy,楽しむ
enormous,巨大な
ensure,確実にする
enter,入る
entertain,楽しませる
enthusiasm,熱意
entire,全体の
equal,等しい
equipment,装置
equivalent,同等の
escape,逃げる
estate,不動産
estimate,見積もる
ethnic,民族の
evaluate,評価する
event,イベント
evidence,証拠
evolution,進化
exact,正確な
examine,調査する
example,例
exceed,超える
excellent,優れた
exception,例外
exchange,交換する
excite,興奮させる
exclude,除外する
excuse,言い訳
execute,実行する
exercise,運動する
exhibit,展示する
exist,存在する
expand,拡大する
expect,期待する
expense,費用
experiment,実験
expert,専門家
explain,説明する
explode,爆発する
explore,探検する
express,表現する
extend,延長する
extent,範囲
external,外部の
extra,余分の
extreme,極端な
eye,目
facility,施設
fact,事実
false,誤った
family,家族
far,遠い
border,境界
boundary,境界線
brief,短い
broad,広い
budget,予算
calculate,計算する
campaign,キャンペーン
capacity,能力
capture,捕える
career,キャリア
category,カテゴリー
celebrate,祝う
central,中心の
century,世紀
ceremony,儀式
champion,チャンピオン
character,性格
characteristic,特徴
charge,料金
charity,慈善
chemical,化学物質
circumstance,状況
citizen,市民
civil,市民の
claim,主張する
collapse,崩壊する
colleague,同僚
abandon,捨てる
ability,能力
absolutely,絶対に
academic,学問の
accept,受け入れる
accomplish,成し遂げる
achievement,達成
addition,追加
adjust,調整する
advantage,利点
advertisement,広告
affect,影響を与える
alternative,代替の
analysis,分析
announce,発表する
apparent,明らかな
application,申請
kangaroo,カンガルー
keen,熱心な
kettle,ケトル
keyboard,キーボード
kidnap,誘拐する
kidney,腎臓
kiss,キス
kite,凧
knob,ノブ
known,知られている
koala,コアラ
lack,不足
ladder,はしご
launch,打ち上げる
lawyer,弁護士
lazy,怠け者の
lead,導く
leak,漏れる
leap,跳ぶ
leather,革
leave,去る
left,左
lens,レンズ
lie,嘘をつく
life,人生
lift,持ち上げる
light,光
lightning,雷
like,好き
limb,手足
line,線
link,リンク
lion,ライオン
liquid,液体
list,リスト
listen,聞く
literature,文学
little,小さい
live,住む
laser,レーザー
lately,最近
legacy,遺産
lifestyle,ライフスタイル
likely,ありそうな
limitation,制限
linear,線形の
lip,唇
liver,肝臓
load,積み荷
loan,ローン
local,地元の
locate,位置する
lock,ロックする
logic,論理
logical,論理的な
lonely,孤独な
long,長い
look,見る
loop,ループ
loose,緩い
lord,領主
lose,失う
loss,損失
lot,たくさん
loud,うるさい
lounge,ラウンジ
love,愛
loyal,忠実な
luck,運
lunch,昼食
luxury,贅沢
machine,機械
mad,怒った
magazine,雑誌
magic,魔法
magnet,磁石
magnitude,大きさ
maid,メイド
mail,郵便
main,主要な
maintain,維持する
major,主要な
make,作る
male,男性
manage,管理する
management,経営
manager,マネージャー
manner,方法
manual,手動の
manufacture,製造する
map,地図
march,行進する
margin,余白
mark,印
market,市場
married,結婚している
marry,結婚する
mask,マスク
mass,大量の
master,達人
match,試合
material,材料
math,数学
matter,問題
mature,成熟した
maximum,最大
may,～かもしれない
maybe,たぶん
mayor,市長
meal,食事
mean,意味する
meantime,その間
meanwhile,その間に
measure,測る
measurement,測定
meat,肉
mechanic,整備士
mechanism,仕組み
medal,メダル
media,メディア
medical,医療の
medium,媒体
meet,会う
meeting,会議
melt,溶ける
member,メンバー
membership,会員
memory,記憶
mental,精神の
mention,言及する
menu,メニュー
merchant,商人
mercy,慈悲
mere,ほんの
merge,合併する
merit,功績
merry,楽しい
metal,金属
meter,メートル
middle,真ん中
midnight,真夜中
might,かもしれない
mild,穏やかな
military,軍事の
milk,牛乳
million,百万
mind,心
mine,鉱山
mineral,鉱物
minimum,最小
minister,大臣
minor,小さい
minute,分
miracle,奇跡
mirror,鏡
miss,逃す
mission,使命
mix,混ぜる
mixture,混合
nail,釘
naive,世間知らずの
name,名前
narrative,物語
narrow,狭い
nation,国家
national,国家の
native,母国の
natural,自然の
nature,自然
navigate,航行する
navy,海軍
near,近く
nearly,ほとんど
neat,きちんとした
necessary,必要な
neck,首
need,必要
needle,針
negative,否定的な
neglect,無視する
negotiate,交渉する
neighbor,隣人
neighborhood,近所
neither,どちらも～ない
nerve,神経
nervous,緊張した
nest,巣
net,ネット
network,ネットワーク
neutral,中立の
never,決して～ない
nevertheless,それにもかかわらず
new,新しい
news,ニュース
newspaper,新聞
next,次の
nice,良い
night,夜
nightmare,悪夢
noble,高貴な
nobody,誰も～ない
noise,騒音
nominate,指名する
none,誰も～ない
nonsense,ナンセンス
noon,正午
nor,～もまた～ない
norm,基準
normal,通常の
north,北
nose,鼻
notable,注目すべき
note,メモ
nothing,何も～ない
notice,気づく
notion,概念
novel,小説
now,今
nowhere,どこにも～ない
nuclear,核の
number,数
numerous,多数の
nurse,看護師
nursery,保育園
nut,ナッツ
nutrition,栄養
oak,オーク
obey,従う
object,物体
objective,客観的な
obligation,義務
oblige,義務を負わせる
observation,観察
observe,観察する
obstacle,障害
obtain,得る
obvious,明らかな
occasion,機会
occasionally,時々
occupy,占める
occur,発生する
ocean,海洋
october,10月
odd,奇妙な
of,～の
off,離れて
oath,誓い
objective,目的
obscure,不明瞭な
obvious,明白な
occasionally,時折
ocean,海
offend,気分を害する
offer,提供する
office,オフィス
officer,警官
official,公式の
often,しばしば
oil,油
okay,大丈夫
old,古い
olive,オリーブ
olympic,オリンピックの
omit,省略する
once,一度
one,一つ
onion,玉ねぎ
online,オンラインの
only,唯一の
onto,～の上へ
open,開ける
operate,操作する
operation,操作
opinion,意見
opponent,対戦相手
opportunity,機会
oppose,反対する
opposite,反対の
opt,選ぶ
option,選択肢
orange,オレンジ
orbit,軌道
orchestra,オーケストラ
order,注文する
ordinary,普通の
organ,臓器
organic,有機的な
organization,組織
organize,組織する
origin,起源
original,元の
orphan,孤児
other,他の
otherwise,さもなければ
ought,～すべきである
our,私たちの
ourselves,私たち自身
out,外に
outcome,結果
outdoor,屋外の
outer,外側の
outline,概要
output,出力
outrage,激怒
outside,外
outstanding,傑出した
oven,オーブン
over,上に
overall,全体的な
overcome,克服する
overlook,見落とす
overnight,一晩
overseas,海外の
overtake,追い越す
owe,借りている
own,所有する
owner,所有者
oxygen,酸素
oyster,カキ
pace,歩調
pack,詰める
package,パッケージ
pad,パッド
page,ページ
pain,痛み
paint,塗る
pale,青白い
pan,フライパン
panel,パネル
panic,パニック
pants,ズボン
paper,紙
paragraph,段落
parallel,平行の
parcel,小包
pardon,許す
parent,親
park,公園
parking,駐車
parliament,議会
part,部分
participant,参加者
participate,参加する
particular,特定の
partner,パートナー
party,パーティー
pass,通過する
passage,通路
passenger,乗客
passion,情熱
past,過去
paste,貼り付ける
pastor,牧師
patent,特許
path,道
patience,忍耐
patient,患者
pattern,パターン
pause,一時停止する
pay,支払う
payment,支払い
peace,平和
peak,頂点
pen,ペン
penalty,罰金
pencil,鉛筆
people,人々
pepper,コショウ
perceive,認識する
perfect,完璧な
perform,演じる
performance,演技
perhaps,おそらく
period,期間
permanent,永久的な
permission,許可
permit,許可する
person,人
personal,個人的な
personality,個性
perspective,視点
persuade,説得する
pet,ペット
phase,段階
phenomenon,現象
philosophy,哲学
phone,電話
photo,写真
phrase,フレーズ
physical,物理的な
physics,物理学
piano,ピアノ
pick,選ぶ
picture,絵
piece,一片
pile,山
pill,錠剤
pilot,パイロット
pin,ピン
pink,ピンク
pipe,管
pistol,ピストル
pitch,投げる
place,場所
plain,平易な
plan,計画
plane,飛行機
planet,惑星
plant,植物
plastic,プラスチック
plate,皿
platform,プラットフォーム
qualify,資格を得る
quality,品質
quantity,量
quarrel,口論
quarter,四分の一
queen,女王
question,質問
quick,速い
quickly,速く
quiet,静かな
quit,やめる
quite,かなり
quote,引用する
quack,ガーガー鳴く
quaint,風変わりな
quake,地震
qualification,資格
quantify,定量化する
quarantine,検疫
quarry,採石場
quench,渇きを癒す
query,問い合わせ
quest,探求
questionnaire,アンケート
queue,列
quicksand,流砂
quietly,静かに
quill,羽ペン
quilt,キルト
quintessential,典型的な
quirk,奇癖
quiver,震える
quiz,クイズ
quota,割り当て
quotation,引用
quotient,商
quibble,言い逃れ
quicksilver,水銀
quintet,五重奏
quizzical,疑問の
quorum,定足数
quarantine,隔離する
quandary,困惑
quantum,量子
quasar,クエーサー
quay,波止場
quicken,速める
quietness,静けさ
quintuple,5倍の
quintillion,100京
quadrant,象限
quadratic,二次の
quadruple,4倍の
quadruped,四足動物
quad,中庭
quadriceps,大腿四頭筋
quark,クォーク
quasar,準星
qubit,量子ビット
quintuplet,五つ子
quantitative,定量的な
quack,偽医者
quartz,石英
quince,マルメロ
quintuple,五倍にする
quixotic,非現実的な
quell,鎮圧する
quagmire,泥沼
quantize,量子化する
query,質問する
quintessence,精髄
quotable,引用に値する
quotidian,日常の
quoth,言った
quizzical,質問の
mud,泥
multiple,複数の
murder,殺人
muscle,筋肉
museum,博物館
music,音楽
musician,音楽家
must,〜しなければならない
mutual,相互の
myself,私自身
mystery,謎
naked,裸の
naturally,自然に
nearly,ほぼ
negotiation,交渉
neither,どちらも〜ない
never,決して〜ない
nice,素敵な
nine,九
nobody,誰も〜ない
nod,うなずく
none,何も〜ない
nonsense,無意味
normal,普通の
normally,通常
northern,北の
not,〜でない
nothing,何も〜ない
notice,通知
nowhere,どこにも〜ない
object,物
obviously,明らかに
occupation,職業
of,〜の
offense,犯罪
officer,役員
on,上に
onto,〜の上に
open,開く
or,または
otherwise,そうでなければ
ought,〜すべきである
outside,外側
over,〜の上に
overall,全体の
owe,借りがある
pace,ペース
pack,荷造りする
painful,痛い
paint,ペイント
painter,画家
painting,絵画
pair,ペア
palm,手のひら
pan,鍋
pardon,許し
particularly,特に
partly,一部
partnership,提携
pepper,胡椒
per,〜ごとに
percentage,割合
perception,知覚
perform,実行する
performance,パフォーマンス
permanent,永続的な
personality,人格
personnel,人員
photograph,写真
physician,医者
pig,豚
pile,積み重ね
pine,松
pipe,パイプ
play,遊ぶ
player,プレイヤー
pleasant,心地よい
please,どうぞ
pleasure,喜び
plenty,十分な
plot,筋
plus,プラス
pocket,ポケット
poem,詩
poet,詩人
poetry,詩
point,点
pole,棒
police,警察
policy,政策
political,政治的な
politician,政治家
politics,政治
pollution,汚染
pool,プール
poor,貧しい
popular,人気のある
population,人口
porch,ポーチ
port,港
portion,部分
portrait,肖像画
position,位置
positive,積極的な
possess,所有する
possession,所有
possibility,可能性
possible,可能な
game,ゲーム
garage,車庫
gear,装置
give,与える
global,世界的な
grab,掴む
grade,成績
grant,許可する
grasp,握る
great,素晴らしい
grow,育つ
guard,守る
hang,掛ける
hard,固い
hardly,ほとんど〜ない
have,持っている
heart,心臓
heavily,重く
hello,こんにちは
hence,それゆえに
here,ここ
intense,激しい
intention,意図
interaction,相互作用
interview,面接
invasion,侵略
investment,投資
item,項目
joint,共同の
journal,雑誌
judge,判断する
kitchen,台所
leadership,指導力
leading,主要な
learning,学習
master,主人
maybe,多分
mechanical,機械の
medium,中間の
mental,精神的な
mere,単なる
merely,単に
mess,混乱
middle,中間
miserable,悲惨な
misery,苦しみ
mission,任務
mobile,移動可能な
mode,モード
model,モデル
modest,控えめな
moment,瞬間
money,お金
monitor,監視する
month,月
mood,気分
moral,道徳的な
more,もっと
moreover,さらに
morning,朝
mortgage,住宅ローン
most,最も
mostly,主に
mother,母
motion,動き
motivation,動機
motor,モーター
mount,登る
mountain,山
mouse,マウス
mouth,口
move,動く
movement,運動
movie,映画
herself,彼女自身
hidden,隠れた
highway,高速道路
himself,彼自身
historical,歴史的な
hold,持つ
hope,希望する
host,主催する
however,しかし
illegal,違法な
immediate,即座の
importance,重要性
impress,感銘を与える
incident,事件
incorporate,組み入れる
indeed,実際に
individual,個人
initial,初期の
initiative,主導権
injury,負傷
inner,内部の
install,設置する
instead,代わりに
institution,機関
instruction,指示
least,最も少ない
leg,脚
legal,合法的な
leisure,余暇
let,許す
lifetime,一生
like,好む
limit,限界
limited,限られた
live,生きる
load,荷物
lock,錠
log,記録
lonely,寂しい
lost,失われた
lot,多く
lovely,素敵な
low,低い
main,主な
mainly,主に
majority,多数
mall,ショッピングモール
man,男性
management,管理
manufacturer,製造業者
many,多くの
mass,大量
fault,過失
feed,餌を与える
fence,柵
field,分野
final,最終の
finance,財務
fine,罰金
finish,終える
firm,会社
fiscal,財政の
fit,適合する
focus,焦点を当てる
formula,式
fortune,財産
forward,前方に
found,設立する
foundation,基盤
frame,枠
freeze,凍る
frequent,頻繁な
fresh,新鮮な
friend,友達
friendly,友好的な
front,前面
fruit,果物
fuel,燃料
full,満杯の
function,機能
fund,基金
funeral,葬儀
funny,面白い
further,さらに
future,未来
sack,袋
sacred,神聖な
sacrifice,犠牲
sad,悲しい
safe,安全な
safety,安全
sail,帆
salary,給料
sale,販売
salmon,サーモン
salt,塩
same,同じ
sample,サンプル
sanction,制裁
sand,砂
satisfy,満足させる
sauce,ソース
save,保存する
scale,規模
scan,スキャンする
scar,傷跡
scare,怖がらせる
scatter,散らす
scene,シーン
scent,香り
schedule,スケジュール
scheme,計画
scholar,学者
school,学校
science,科学
scissors,ハサミ
scold,叱る
scope,範囲
score,得点
scrape,擦りむく
scratch,引っかく
scream,叫ぶ
screen,画面
screw,ねじ
script,脚本
sculpture,彫刻
sea,海
seal,印章
search,検索する
season,季節
seat,座席
second,秒
secret,秘密
section,セクション
secure,安全な
security,セキュリティ
see,見る
seed,種
seek,探し求める
seem,～のように見える
select,選択する
self,自己
sell,売る
semester,学期
send,送る
senior,年上の
sense,感覚
sensitive,敏感な
sentence,文
separate,分離する
sequence,順序
serious,真剣な
serve,提供する
service,サービス
session,セッション
set,セット
settle,定住する
seven,七
several,いくつかの
severe,厳しい
sew,縫う
shade,日陰
shadow,影
shake,振る
shall,～すべきである
shallow,浅い
shame,恥
shape,形
share,共有する
sharp,鋭い
shatter,粉砕する
sheep,羊
sheet,シーツ
shelf,棚
table,テーブル
tablet,タブレット
tackle,タックルする
tactic,戦術
tail,尾
take,取る
tale,物語
talent,才能
talk,話す
tall,高い
tank,タンク
tap,タップする
tape,テープ
target,目標
task,タスク
taste,味
tax,税金
taxi,タクシー
teach,教える
teacher,先生
team,チーム
tear,涙
technical,技術的な
technique,技術
technology,技術
television,テレビ
tell,言う
temper,気性
temperature,温度
temple,寺
temporary,一時的な
ten,十
tend,傾向がある
tender,柔らかい
tennis,テニス
tent,テント
term,期間
terminal,ターミナル
terminate,終わらせる
terrible,ひどい
territory,領土
test,テスト
text,テキスト
than,～より
thank,感謝する
theater,劇場
theme,テーマ
theory,理論
therapy,治療
there,そこに
thesis,論文
thick,厚い
thief,泥棒
thin,薄い
thing,物
think,考える
third,第三
thirsty,喉が渇いた
thirty,三十
this,これ
thorough,徹底的な
those,それら
though,～だけれども
thought,考え
thousand,千
thread,糸
threat,脅威
three,三
thrive,繁栄する
throw,投げる
thumb,親指
thunder,雷
ticket,切符
tie,結ぶ
tight,きつい
time,時間
timid,臆病な
tiny,小さい
tip,チップ
tired,疲れた
title,タイトル
to,～へ
today,今日
together,一緒に
toilet,トイレ
tomorrow,明日
tone,音色
tongue,舌
tonight,今夜
too,～もまた
tool,道具
tooth,歯
top,上
topic,話題
total,合計
touch,触れる
tough,頑丈な
umbrella,傘
unable,できない
unaware,気づいていない
uncertain,不確かな
uncle,おじ
uncover,明らかにする
under,～の下に
undergo,経験する
understand,理解する
undertake,引き受ける
underwear,下着
undo,元に戻す
unfair,不公平な
unfold,展開する
unfortunate,不運な
unify,統一する
union,組合
unique,唯一の
unit,単位
unite,団結する
universe,宇宙
university,大学
unknown,未知の
unless,～でない限り
unlike,～とは異なる
unlikely,ありそうもない
unload,降ろす
unlock,開ける
unpleasant,不快な
until,～まで
unusual,異常な
up,上へ
update,更新する
upgrade,アップグレードする
uphold,支持する
upon,～の上に
upper,上部の
upset,動揺させる
upside,上側
urban,都市の
urge,促す
urgent,緊急の
us,私たちを
usage,使用
use,使う
used,使用済みの
useful,役に立つ
useless,無駄な
